Title;Description;Origine;Type;Genres;Thèmes;Scénariste;Dessinateur
:REverSAL;Quartier de Gion, Kyoto. Voici le récit d'Ayame, une jeune maiko éprise de justice et folle de super héros. Entraînée par une vieille comptine, Ayame s'égare et se retrouve derrière le miroir, dans un Kyoto totalement inversé. Dans ce monde étrange, il n'y a qu'une seule règle qui prévaut : tuer ou être tué. Ayame parviendra-t-elle à retourner chez elle saine et sauve ? Une série mêlant horreur, action et mystères en 2 volumes !;Japon - 2012;Seinen;Action - Horreur - Science-fiction;;Karakara Kemuri;Karakara Kemuri
!;Un jour, Keita, un lycéen, ramasse un mystérieux téléphone portable dans la rue. Par pure curiosité, il jette un coup d'oeil aux images contenues dans les fichiers. Mais ce qu'il y trouve, c'est la photo du cadavre de son amie...;Japon - 2014;Seinen;Horreur - Mystère;Gore - Mort;Ninomiya Atsuto;Yokoyama Jin
!KHCHANGE!;!KHCHANGE! est un recueil d'histoires courtes centrées sur les différents personnages de la saga de visual novels Koihime†Musou.;Japon - 2016;Seinen;Comédie - Ecchi - Fantasy - Histoires courtes;;Sugiyama Yuki (mangaka);Sugiyama Yuki (mangaka)
...no Onna;"Recueil d'histoires qui suit le quotidien de quatre différentes jeunes filles.  1. La fille O  Une fille à qui un camarade de classe s'est confessé lui a déclaré ""commençons comme des amis"" malgré le fait qu'elle le trouve ennuyeux. Comment cette histoire va-t-elle finir?  2. La fille S  C'est l'histoire d'un garçon et d'une fille. Rei-chan (la fille) a toujours aimé le garçon populaire. Il la traite comme une esclave, mais elle l'ignore. Comment va-il réagir?  3. La fille dans la légende  Yamata Tanoko est intelligente mais pas très jolie. Quand un garçon populaire Nota Sakami lui demande de l'accompagner, elle se demande pourquoi. Y a-t-il une raison?  4. La fille négative  Chaque fois qu'elle est avec un garçon, Hinako ne lui apporte que de la malchance. Elle jure de ne plus jamais tomber amoureuse, mais rencontre par la suite le neveu du vendeur du magasin de fleurs!?";Japon - 2004;Shojo;Comédie - Drame - Histoires courtes - Romance - School Life;;Fujimura Mari;Fujimura Mari
.hack//4koma;.hack//4koma suit le format traditionnel du yonkama (format quatre cases) avec des rencontres entre les personnages des différents univers de la série. Principalement des parodies centrées sur les personnages principaux comme Kite, BlackRose, Helba etc., ainsi que les personnages du jeu vidéo comme Haseo, Atoli etc.;Japon - 2007;Shonen;Comédie - Fantasy - Science-fiction - Yonkoma;Jeux vidéo - Monde virtuel - Parodie;Sumimaru Koichi;Sumimaru Koichi
.Hack//Alcor;Nanase est secrètement amoureuse de Silabus qui n'a d'yeux que pour Yôkô, la grande championne de l'arène. Tandis qu'elle réfléchit sur sa situation, elle est attaquée par Bordeaux. Si Silabus vient à son secours, c'est finalement Yôkô qui les délivre de leur ennemi. Cet acte de courage est une nouvelle épreuve pour Nanase puisqu'elle doit maintenant la vie à sa rivale. Désespérée, elle ère dans The World quand elle apprend que Bordeaux à l'intention de tuer le capitaine de la Guilde Carnard, alias Silabus. Nanase doit le prévenir. Hélas, il est introuvable et Yôkô est elle aussi absente...;Japon - 2007;Shonen;Aventure - Fantastique;;Amou Kanami;Izumibara Rena
.Hack//G.U.+;"2017. Le jeu en ligne ""The World"" compte à présent plus de 12 millions de joueurs dans le monde entier. Le principe est toujours le même, mais les mentalités ont changées : à présent, certains joueurs se rassemblent en bandes pour s'en prendre à des joueurs plus faibles. Ils sont appelés PK (player killers). Au milieu de cette ambiance sombre, un mystérieux personnage apparaît : Tri-Edge. Ses victimes dans le jeu voient leurs données effacées et sont même affectés physiquement dans le monde réel. Haseo voit sous ses yeux son amie détruite par Tri-Edge et jure de devenir plus fort pour se venger...";Japon - 2005;Shonen;Aventure - Fantastique;Jeux - Monde virtuel;Hamazaki Tatsuya;Morita Yuzuka
.Hack//Le bracelet du crépuscule;"L'histoire se passe dans le monde informatique ""The World"", un jeu en ligne très populaire. Les jumeaux Kunisaki, Lena et Shûgo, gagnent à un concours organisé par les administrateurs de ""The World"" deux personnages du même design que Kite et Black Rose, les légendaires . hackers (dot hackers). Dès leur première connection, ils sont confrontés à des évènements étranges, et Shûgo se voit remettre par une mystérieuse jeune fille nommée Aura un bracelet magique, le Bracelet du Crépuscule. Au cours de leur aventure, ils rencontrent Xefi, une petite Intelligence Artificielle égarée qui dit être la fille d'Aura. Lena et Shûgo se lancent alors à la recherche de la maman de la petite fille perdue...";Japon - 2002;Shonen;Aventure - Fantastique;Jeux - Monde virtuel;Hamazaki Tatsuya;Izumi Rei (mangaka)
.hack//Link - Tasogare no Kishidan;Trois ans après l'arrêt des serveurs du MMORPG The World, la nouvelle version intitulée The World R:X va bientôt sortir ! Tokio Kuryuu, un jeune lycéen, est impatient d'y jouer mais à oublier de précommander le jeu. Par (mal)chance, sa camarade de classe Saika le transfère dans le jeu sans prévenir.  Bloqué dans The World, Tokio va devoir tout faire pour empêcher un mystérieux personnage de corrompre le jeu et mettre en danger le jeu même pas encore sorti !;Japon - 2007;Shonen;Action - Aventure - Comédie - Science-fiction;Autre monde - Jeux vidéo;Cyberconnect2;Kikuya Megane
.hack//Quantum+;Sakuya, Tobias et Mary sont trois amis jouant à la nouvelle version du célèbre MMORPG The World, mais ils ne se doutaient pas qu'en acceptant une quête somme toute banale, ils seraient amenaient à être impliqués dans des situations bien plus complexes que le simple MMO.;Japon - 2011;Shonen;Action - Aventure - Comédie - Mystère;;;Mitaka Nao
