Title;Note;Description;Éditeur;Date de publication;Nombre de pages
:REverSAL Vol. 1;8.48/10;Quartier de Gion, Kyoto. Voici le récit d'Ayame, une jeune maiko éprise de justice et folle de super héros. Entraînée par une vieille comptine, Ayame s'égare et se retrouve derrière le miroir, dans un Kyoto totalement inversé. Dans ce monde étrange, il n'y a qu'une seule règle qui prévaut : tuer ou être tué. Ayame parviendra-t-elle à retourner chez elle saine et sauve ? Une série mêlant horreur, action et mystères en 2 volumes !;; Doki-Doki (Seinen); 14/05/2012
:REverSAL Vol. 2;8.29/10;Le son de la cloche du monastère de Gion fait écho à l'impermanence de toute chose. Ayame, une jeune Maiko, est poussée malgré elle à participer à un jeu qui la mène vers un Kyoto inversé, l'exact reflet de la ville qu'elle a toujours connue. Cherchant avidement une sortie qui la ramènerait chez elle, elle prend conscience de la réalité de ce monde et de son implication avec le sien. L'envers de l'envers étant l'endroit, la vraie sortie est-elle bien celle que l'on croit ?;; Doki-Doki (Seinen); 14/05/2013
! Vol. 1;-/10;Un jour, Keita, un lycéen, ramasse un mystérieux téléphone portable dans la rue. Par pure curiosité, il jette un coup d'oeil aux images contenues dans les fichiers. Mais ce qu'il y trouve, c'est la photo du cadavre de son amie...; Alpha Polis; 28/02/2014; 212
!KHCHANGE! Vol. 1;-/10;!KHCHANGE! est un recueil d'histoires courtes centrées sur les différents personnages de la saga de visual novels Koihime†Musou.; Enterbrain; 25/01/2016; 200
...no Onna Vol. 1;6/10;"Recueil d'histoires qui suit le quotidien de quatre différentes jeunes filles.  1. La fille O  Une fille à qui un camarade de classe s'est confessé lui a déclaré ""commençons comme des amis"" malgré le fait qu'elle le trouve ennuyeux. Comment cette histoire va-t-elle finir?  2. La fille S  C'est l'histoire d'un garçon et d'une fille. Rei-chan (la fille) a toujours aimé le garçon populaire. Il la traite comme une esclave, mais elle l'ignore. Comment va-il réagir?  3. La fille dans la légende  Yamata Tanoko est intelligente mais pas très jolie. Quand un garçon populaire Nota Sakami lui demande de l'accompagner, elle se demande pourquoi. Y a-t-il une raison?  4. La fille négative  Chaque fois qu'elle est avec un garçon, Hinako ne lui apporte que de la malchance. Elle jure de ne plus jamais tomber amoureuse, mais rencontre par la suite le neveu du vendeur du magasin de fleurs!?"; Shueisha; 24/09/2004; N&B
.hack//4koma Vol. 1;-/10;N/C; Kadokawa Shoten; 26/03/2007; N&B
.Hack//Alcor Vol. 1;-/10;Nanase est secrètement amoureuse de Silabus qui n'a d'yeux que pour Yôkô, la grande championne de l'arène. Tandis qu'elle réfléchit sur sa situation, elle est attaquée par Bordeaux. Si Silabus vient à son secours, c'est finalement Yôkô qui les délivre de leur ennemi. Cet acte de courage est une nouvelle épreuve pour Nanase puisqu'elle doit maintenant la vie à sa rivale. Désespérée, elle ère dans The World quand elle apprend que Bordeaux à l'intention de tuer le capitaine de la Guilde Carnard, alias Silabus. Nanase doit le prévenir. Hélas, il est introuvable et Yôkô est elle aussi absente…;; Panini (Manga); 26/03/2007
.Hack//G.U.+ Vol. 1;7/10;"Nous sommes en 2017. Le jeu en ligne ""The World"" comptabilise plus de 12 millions de joueurs à travers le monde. Si le principe du jeu n'a pas changé, l'atmosphère est radicalement différente. Là où autrefois il était coutume de faire équipe pour explorer l'univers et compléter des quêtes, aujourd'hui les joueurs s'organisent en bande afin de tuer les plus faibles...";; Panini (Manga); 23/06/2006
.Hack//G.U.+ Vol. 2;4.5/10;"Haseo engage une lutte acharnée contre Endrance et l'AIDA possédant son esprit. Tri-Edge, de son côté, réapparaît et modifie le système de ""The World"". Désormais, tous les joueurs présents au moment de l'attaque se trouvent dans l'impossibilité de se déconnecter. Leur esprit est prisonnier du jeu !!";; Panini (Manga); 04/07/2007
.Hack//G.U.+ Vol. 3;4.5/10;Haseo et Pi s'engagent dans la brèche du serveur AIDA. Face à eux, Tri-Edge dévoile sa véritable nature. Qui est-il vraiment ? Notre héros arrivera-t-il à sauver Shino et délivrer les autres « Disparus » ?;; Panini (Manga); 27/12/2007
.Hack//G.U.+ Vol. 4;4.5/10;"Alors qu'Haseo pensait en avoir fini avec le jeu en réseau, un mystérieux e-mail expédié par Aina, la première ""disparue"", va chambouler son destin…";; Panini (Manga); 26/03/2008
.Hack//G.U.+ Vol. 5;4.5/10;"Kazumi a réussi : il est devenu le nouveau dieu de ""The World"". Malheureusement, ses actes inconsidérés ont pour conséquence l'apparition de Cubia. et malgré sa force divine, il n'est pas en mesure de contenir ce dernier. La Troisième Crise du réseau semble inévitable. Nos amis et internet tout entier sont en danger. Un dernier tome au suspens insoutenable !";; Panini (Manga); 26/03/2009
.Hack//Le bracelet du crépuscule Vol. 1;6.94/10;"Dans leur quête des . hackers (prononcer ""dot hackers""), les joueurs Shûgo et Léna naviguent dans ""The World"", le plus grand jeu en ligne du monde, et font la rencontre de bien étranges personnages. Quelles surprises réserve l'avenir à notre facétieux couple de voyageurs !?";; Panini (Manga); 29/07/2002
.Hack//Le bracelet du crépuscule Vol. 2;7.43/10;"Shûgo et Léna voyagent dans le jeu en ligne ""The World"" à la recherche des légendaires . hackers (prononcer dot hackers). Comment expliquer que depuis que leur chemin a croisé celui d'une wandering AI (Intelligence Artificielle errante), Xéfi, le ciel semble étrangement se couvrir... ?";; Panini (Manga); 26/02/2003
.Hack//Le bracelet du crépuscule Vol. 3;6.83/10;Soupçonnés de tricherie, nos héros, Shûgo et Léna, sont emprisonnés. Grâce aux pouvoirs de la wandering AI (Intelligence Artificielle errante), Xéfi, ils s'évadent, mais sont suivis à la trace par la redoutable Kamui de l'ordre des chevaliers bleus. Arriveront-ils à rejoindre Aura ?;; Panini (Manga); 03/04/2004
.hack//Link - Tasogare no Kishidan Vol. 1;-/10;L'histoire se déroule en 2020, trois ans seulement après les événements de .hack // GU. Le personnage principal est un étudiant de collège nommé Tokio Kuryuu. Il mène une vie normale de joueur jusqu'à ce qu'une mystérieuse fille nommée Ayaka Amagi soit transférée dans son école et l'emmène dans le monde du jeu vidéo.;; Kadokawa Shoten; 616 ¥
.hack//Link - Tasogare no Kishidan Vol. 2;-/10;Suite à certaines circonstances, Tokio est parvenu à vaincre un ennemi puissant qu'il n'était pas censé être capable de gagner contre. Il a désormais pu rejoindre Tsukasa avec le Chrono Core. Mais un nouvel ennemi se tient maintenant sur son chemin...;; Kadokawa Shoten; 616 ¥
.hack//Link - Tasogare no Kishidan Vol. 3;-/10;"Haseo, le terrible PKK connu sous le nom de ""Peur de la Mort"", a complètement anéanti Tokio. Ce dernier fait alors irruption chez son mystérieux maître et lui demande de faire de lui son apprenti. Il commence alors à s'entraîner durement, se préparant au combat final.";; Kadokawa Shoten; 616 ¥
.hack//Quantum+ Vol. 1;-/10;L'histoire est centrée sur trois amis, camarades de classe : Sakuya, Tobias et Mary. Ces trois personnages sont aussi joueurs d'un MMORPG qui s'intitule The World R : X, créé par la société Cyberconnect Corporation. Durant l'une de leurs parties, ils aperçoivent une guilde de joueurs tentant de vaincre le boss, The One Sin, et, par accident, activent un piège qui tue une grande partie des membres de la guilde. Ils deviennent alors recherchés dans le monde virtuel. Pendant ce temps, un mystérieux chat surveille leurs moindres faits et gestes.;; Kadokawa Shoten; 138
.hack//Quantum+ Vol. 2;-/10;"L'heure de la bataille finale approche ! Afin de sauver ""The World"", ce jeu auquel ils ont passé tant de temps, ainsi que leurs amis disparus, nos protagonistes vont devoir affronter un tout dernier ennemi, le plus puissant de tous...";; Kadokawa Shoten; 158
